1000 5000
629 481 352577539
450 317 14502890
600 17 105479595
358 997 591854049
388 536 342092210
826 706 757046461
936 987 429604188
782 939 673924755
913 507 927813980
768 159 214822088
587 465 104033124
893 159 196032691
391 100 500073426
788 214 28999646
181 70 596795256
570 319 711359633
203 209 49873964
329 621 890558673
326 274 469352724
768 664 652667384
169 764 506123441
876 1000 25652482
657 604 375658389
964 88 101979902
260 750 718577601
976 783 153194641
798 197 605520409
659 535 880294367
919 770 217571128
20 813 374609603
16 976 917883349
227 728 164043892
532 181 229348194
704 899 641105398
738 292 296433518
493 618 251258979
56 221 984392888
490 346 663927440
637 431 354278541
379 767 389437430
745 635 509327092
598 178 370403830
576 159 865211715
883 907 269534642
159 439 756948260
556 242 573082827
108 134 692937436
698 203 653831197
114 183 494037606
125 376 393900226
318 764 975848878
612 271 322899609
359 460 972237428
54 416 422633737
251 207 900087329
64 458 968915312
750 59 923276376
339 856 171937011
371 70 194403242
208 979 65887150
705 146 955900923
187 947 390861706
514 540 175647823
4 406 566876575
677 857 693511154
73 816 826767159
27 970 739279833
812 549 449125941
697 918 537143200
676 496 262881215
42 700 688264206
227 387 530449103
829 500 202088683
637 441 438324995
578 368 98281649
944 868 933642960
918 758 888373493
721 992 276371233
247 320 528546623
64 250 100097308
959 686 300911068
920 822 961900977
383 797 908210887
345 36 341937236
28 860 848689905
191 907 579509685
29 989 412295344
611 520 682441573
802 907 50153912
253 1000 471804851
731 225 573749572
572 871 969338415
813 189 537395956
105 786 902415545
502 291 823382154
361 530 147935825
241 832 886556201
253 654 856848748
199 322 406410908
842 663 386210076
676 208 328895374
136 587 291426376
109 273 58657226
835 616 763831020
865 250 162208668
963 86 85570501
756 713 260975758
410 292 68233169
372 632 180027983
963 17 574971739
701 738 286210578
240 352 906937075
984 246 409061591
426 753 11858761
830 577 407263245
462 120 157992472
497 19 473851268
651 843 464580817
471 86 310168739
806 139 939017331
702 563 98811624
894 905 220242901
993 94 798358506
561 828 806271626
518 31 103064540
23 654 496368709
196 685 324078778
408 345 762987238
195 641 843359415
879 10 646561524
415 979 189568441
11 42 656945513
645 840 271258061
724 835 242608525
177 715 96998820
535 977 842572473
381 788 552963536
668 87 857712648
934 17 727131496
348 441 806009704
376 246 809260624
703 332 449122502
462 898 664833347
842 840 364349937
251 537 968354900
895 465 101737198
404 32 972666414
456 266 418430961
307 28 856052133
404 803 934322184
20 692 164822519
267 641 683392275
99 156 816136168
635 700 366489265
620 882 86570981
310 495 15820013
360 211 457397557
667 162 861832316
416 178 862239978
64 324 992009365
552 65 64572743
332 644 673125458
468 689 79734694
658 921 265127057
298 726 540724769
723 447 78130936
527 191 302494675
970 638 139386221
188 439 858703229
216 397 24371719
8 191 856834531
38 589 718197580
362 982 95347605
480 452 945187334
134 252 374123324
390 890 312103912
128 252 334116766
940 948 374915691
125 930 93451654
159 530 414423401
773 338 739260452
552 59 972424254
298 191 676979377
57 120 571812324
185 700 868008381
804 192 944376746
886 57 170311822
901 693 962517697
967 596 968718452
192 598 351437926
733 461 882869285
371 235 886437024
416 947 51334118
788 585 515923599
578 209 650086005
705 168 474699106
503 895 643420019
360 874 387210336
937 25 407253937
43 17 695028958
839 253 422190031
529 508 638770375
989 83 799299423
424 316 925647410
13 204 811033323
528 871 334918071
996 186 227401776
515 28 92709414
740 917 354209038
57 83 402293594
636 957 210317455
319 908 415333586
915 591 418013024
463 85 688536193
494 495 400518219
75 419 42665755
590 771 910940779
254 907 969656763
373 17 485307469
250 195 916022490
645 516 564014317
192 968 112879411
36 873 491332113
921 316 451509941
320 844 819673325
491 191 425490597
864 373 695296592
342 919 268438072
773 520 43993004
581 491 526795872
49 93 936357011
309 462 337259966
247 62 334537451
415 577 979348189
242 917 414078709
933 859 441015199
996 287 719964982
759 533 308171535
157 903 913996146
330 715 302654230
994 878 617942718
622 965 590270914
845 790 135394778
766 548 927414742
302 30 657073118
160 36 140810389
39 983 45235611
999 317 116590469
976 177 769883190
583 860 895582457
713 288 706165706
571 45 650320092
726 162 859668375
557 52 827558235
881 15 887743158
499 609 931540697
985 843 147275182
46 403 475529063
30 791 495865852
242 491 642444623
849 706 736764223
445 408 410945149
554 233 20113178
429 723 740423184
28 775 133504647
122 208 210445945
767 703 778880571
364 663 677216652
90 225 590502081
827 452 267931112
632 898 78203817
857 748 236626609
550 585 464673470
876 795 179049673
620 435 888618666
548 958 705631071
536 513 299531642
353 482 676646865
343 868 423594077
863 579 536642764
704 591 804376526
196 410 409189278
800 530 846547865
541 817 228332944
278 151 53971655
736 460 875354048
660 846 43012079
110 291 541064710
109 618 824604914
194 351 82308816
300 268 537009540
348 696 742148025
715 120 45078735
493 107 988964489
113 868 382417912
20 117 446299456
578 463 152444467
675 266 449814692
543 79 78833402
500 495 922072036
438 154 378208521
232 763 536054558
661 856 752144970
508 738 452171072
486 962 662619751
303 742 504421514
6 477 281596868
272 780 804869263
498 169 717597744
835 197 457865933
983 125 914977485
965 800 141427096
170 432 308812548
619 32 693777007
814 303 700460161
45 298 758541328
786 517 839398432
705 984 986113261
849 500 863517458
210 191 457609161
966 582 344003753
116 601 98523036
615 987 960160990
476 156 411388410
700 197 416867017
427 132 894145715
367 210 760971440
218 270 140907125
10 292 876814251
940 411 646487731
638 207 671372577
295 859 692554842
949 242 704969550
294 183 435679795
902 554 220492796
512 291 966185726
411 723 247854918
229 994 900001384
142 6 143868493
575 527 488741292
574 632 731003411
250 332 211359911
804 504 864963088
781 741 136457634
826 155 713333379
294 702 592208456
246 349 797274634
767 912 55415287
942 566 380825963
868 102 546136936
906 42 61425515
986 30 793380526
524 663 92457941
799 45 171020231
947 281 380727418
939 281 793489804
961 966 732065023
505 481 898580590
268 903 946972653
796 725 498265964
336 331 587684925
625 360 869866044
173 881 238296850
8 663 753785356
722 118 142111922
596 689 919719238
238 846 606103270
766 783 836847105
630 693 787632137
375 308 666210694
697 921 231684732
23 215 79804482
112 742 632942999
562 318 313772313
607 85 29047705
146 724 214582829
846 407 770505949
888 385 502840080
170 23 389863388
305 10 834771569
678 167 393999493
917 495 506677155
984 656 328725023
625 218 650893406
305 125 912114251
599 23 49321769
189 741 237303955
680 899 588482381
881 142 900929084
501 605 458492343
881 52 84518869
685 574 755557593
172 577 130162057
307 579 773109826
543 681 292423456
902 27 733066456
218 406 317449684
793 661 775143833
305 535 288125277
284 392 304970275
277 496 24181043
721 226 931930076
147 302 594793990
525 593 466568656
422 197 122314858
767 978 677493124
676 620 770232900
512 883 315082315
634 341 145357105
315 59 409472559
216 76 754175010
981 654 402726784
275 411 553536986
31 715 433488516
5 888 676384103
730 650 911281765
469 530 710887987
753 530 284930229
484 61 410097735
884 831 310422437
51 467 73316514
679 750 497893121
277 25 575693824
984 868 39061369
509 225 221149737
303 17 463783480
366 750 376682410
402 990 507371832
469 869 126897755
560 215 890185983
275 546 459594221
695 434 638451782
113 241 391669804
728 138 796742537
86 615 335189928
878 156 725289507
151 632 99030670
230 100 819431997
671 6 821936104
738 452 895367332
485 631 254229710
835 903 825745088
859 109 109709266
167 893 36785918
443 156 115648428
295 756 286833377
717 857 251614844
566 191 236561875
581 530 676771845
12 622 610300970
258 641 3917571
435 118 92737241
181 175 193543288
902 315 740555289
324 207 445215070
21 199 960665494
948 229 356583285
683 252 701707958
227 935 686679157
414 789 162561448
219 153 215277383
707 90 825391473
687 57 147599330
684 126 294185088
608 282 613897282
837 842 749405923
217 67 919285985
575 789 454837241
630 620 173476710
930 994 830051074
455 805 997610340
164 498 430251551
63 958 327418010
260 123 33990337
841 306 988008202
490 717 346330206
871 928 441409224
454 208 242089507
47 66 569765305
521 263 48140385
572 131 139855659
12 517 508499744
382 931 210075985
222 33 688759548
692 950 326025864
901 413 87243150
53 907 936109726
74 531 670625992
719 120 563628706
49 399 354532141
628 266 794135018
159 878 517168393
97 224 660649450
596 128 648973942
21 231 344282735
126 883 797856135
916 808 647196339
551 23 257536886
36 229 816118002
450 695 833060352
521 142 293300731
471 224 246567710
279 560 694122368
944 94 894775996
702 705 436571725
822 844 405873140
490 139 378341263
690 849 225863427
816 214 710827734
233 764 513822814
422 884 819609402
484 846 364367743
795 315 128723382
483 874 951933602
966 337 413881944
774 967 637805940
231 279 693049571
188 376 489542489
546 571 617170093
749 210 729174723
373 118 904887400
181 952 231971405
890 602 550792875
331 882 103298662
163 705 32332087
971 899 597662243
711 50 311100144
284 298 893008558
887 489 664072868
969 589 368153628
244 632 262926791
858 23 711833070
853 836 533099321
710 265 782130579
832 596 967424167
967 120 513222650
683 253 930478638
687 691 100513080
276 984 590941039
611 463 411089660
580 359 899140038
130 903 177677147
432 740 249915451
865 609 370466945
515 450 19470004
167 194 409791678
343 230 880015301
586 446 211129843
454 876 884059865
67 582 911698271
412 881 210273980
164 890 32959702
277 983 863589307
63 552 774731670
824 142 243586145
963 502 207252722
738 616 560768073
632 178 971107391
274 256 540762966
991 494 459954770
276 955 494333651
952 19 218580439
388 634 760322093
857 666 600537314
346 327 980290722
511 332 720424714
747 413 804067014
231 818 518216118
779 635 564504452
833 812 508746177
275 547 184489185
502 198 103489691
234 875 613007666
528 434 819899840
358 917 220734154
603 460 151539421
989 408 193132415
557 318 94334133
793 334 914383694
967 917 70597198
961 744 483928633
834 808 469277764
312 892 598885723
854 891 316879090
389 273 3526695
591 60 599471415
422 65 674439940
169 67 244063609
171 238 25751774
209 477 307600808
925 13 827691679
273 318 430382891
645 967 335016275
76 740 516560949
29 348 25394583
1000 997 310467524
785 624 26972267
618 252 983977445
556 667 889727658
681 719 44493394
943 198 497578725
222 406 276787323
371 33 722062507
609 434 551068082
198 572 488318280
360 65 719283992
75 282 25568488
20 468 61970853
828 235 344504296
33 856 1600864
874 489 877656333
684 771 907886038
997 178 535632602
818 234 835791498
794 525 274603736
77 291 191474129
20 642 292591116
395 232 606744057
682 943 11330188
134 906 628214955
798 9 397258870
887 915 866260048
894 335 568367288
40 88 851966502
210 898 122362048
427 620 708313658
220 815 990397246
815 283 372944559
560 915 220512435
817 1000 832852992
96 455 160912616
111 221 508145051
491 221 66576065
745 930 212786092
765 119 874719234
152 76 971233828
745 552 373357302
337 589 423687734
519 808 525676069
61 948 829990978
844 229 65643776
654 452 249265433
275 312 218249903
512 513 67435300
871 111 467935927
409 481 515889925
641 203 432772945
848 491 328556614
437 410 892448691
186 856 912538456
149 781 825256621
856 209 105152035
985 42 579182081
245 594 161938185
226 552 525120662
571 854 606873609
559 118 196538504
254 770 425713248
391 987 463444599
474 626 119415474
878 860 820452967
40 453 340517255
225 500 685250627
442 504 373893292
564 880 764898538
995 604 315292949
659 158 127403684
169 979 19768503
30 482 830298348
303 780 743968309
194 207 127041707
302 77 303276094
220 827 718916411
143 688 684470235
834 686 165171921
912 70 957723810
188 469 726557203
300 908 170406624
923 252 312878638
810 156 471876984
267 273 808866478
145 162 868792169
907 604 243892245
192 687 409754496
905 229 1179848
145 688 474207059
221 142 433342987
430 85 163728953
884 955 554339672
141 218 265783622
329 111 694062450
84 734 64235381
977 618 719019521
707 676 297677987
25 948 763089701
212 616 366645520
963 806 945860903
538 339 418510619
282 447 515846369
294 52 738061857
120 197 649044848
479 722 772486393
50 477 12814072
653 119 784425101
418 731 381182386
553 250 782374138
370 172 783407195
842 873 604410772
560 557 713213081
474 494 360339353
797 758 736719499
44 283 571383950
163 283 765120608
170 876 561859591
921 984 925828587
412 246 39376212
655 783 778306379
130 37 108976341
377 381 313212923
516 27 507661803
93 847 655588054
305 157 366405334
16 797 32851803
964 715 477458448
209 197 516322899
959 944 570979172
905 464 319610713
731 569 572760344
243 849 4069869
845 44 823305309
715 225 770519035
21 758 754627555
17 604 173732561
31 695 887084200
714 59 115567633
315 700 780619049
515 305 133294671
168 770 23463221
707 771 561138970
716 344 938037561
366 711 900627320
786 875 53886313
363 198 724294569
424 985 610815835
662 986 372516176
830 191 987446566
397 862 567075242
490 179 543521255
584 148 971798471
292 860 881546815
778 83 158349768
405 98 854253277
221 903 308880778
296 201 648447405
656 197 785013251
390 950 985723544
601 120 151414232
181 199 69831872
684 539 988111009
195 587 75165764
449 913 58891461
710 77 788095088
698 242 229016774
208 52 519594243
383 517 797981916
945 908 720369860
169 827 172320669
954 936 810457879
447 439 606758648
21 177 911999587
427 376 652169649
949 830 931680243
321 268 184419755
136 663 909840153
885 282 26955060
927 987 738702942
935 60 981864815
913 174 982824269
990 654 825719021
164 52 642618726
681 596 278455417
820 229 36726028
117 319 218428982
936 629 39704102
998 903 879185387
582 447 179422926
892 535 693724571
711 930 819901344
403 308 468155710
685 915 406883037
992 689 493008426
336 909 230851147
141 50 329302743
182 910 297116356
676 881 670208039
193 134 934774578
332 618 313313131
562 856 306010386
620 207 19665506
913 993 675974798
319 289 63599870
439 194 994215342
488 890 581679897
489 907 926492836
963 151 351060100
728 615 809048759
987 802 165403606
424 330 925402041
550 319 103605232
244 468 292856100
541 417 559627255
277 31 320297093
295 631 782834259
391 647 778904150
866 234 49233650
253 180 123924698
228 703 968065511
508 947 956045438
904 962 766086099
110 292 579098031
931 748 149116749
118 65 530414865
999 869 434555375
1 577 886008212
256 246 680254556
165 415 985013971
526 292 898950757
132 194 467495998
562 813 416916287
268 876 951466112
356 492 11503952
86 250 889237176
470 698 471798746
903 151 451183943
946 252 95735493
848 609 444665286
177 137 79808622
195 620 465940087
723 518 105775418
926 90 449164842
751 711 71836865
790 557 812754774
669 747 623079708
858 112 819634760
27 539 92386373
49 14 441572623
951 65 167693197
209 860 124088292
617 109 40254714
122 823 79147957
50 604 248483557
198 255 415513835
666 862 393356638
173 134 410874325
649 524 708692932
613 10 67864438
357 407 42324635
724 257 384794521
136 195 867904015
828 31 95465698
626 715 15721936
197 477 293754017
663 584 767554800
733 642 364618549
872 298 270447669
519 939 615188938
139 71 751139966
832 120 897494766
582 805 99374670
857 809 848724230
797 178 727971497
497 554 729146226
198 108 13423505
595 168 173734744
328 225 73778710
676 25 664266252
627 746 181015097
85 308 463940991
17 191 664376535
597 732 29705459
789 406 810183059
148 787 196223633
736 249 702176271
332 281 421718486
375 978 951521628
802 434 368636980
577 180 664960161
542 847 770792654
772 570 145518643
417 851 871866410
8 740 710587033
528 945 770611090
922 76 930376567
964 861 751541042
616 178 71794554
227 985 767207096
374 758 53710700
399 505 553989445
531 483 902944268
778 195 587904319
154 242 817913201
310 221 988038121
814 951 22615593
895 310 362202852
445 372 533689374
522 303 565495363
350 641 578384670
825 281 930477309
886 324 904491266
405 515 391616243
474 840 682567515
723 839 241543267
899 963 401053072
703 273 733412071
964 193 419545401
620 120 544810829
265 481 577377827
872 539 115933619
824 325 29938083
318 421 434467255
637 908 853501279
401 290 656010102
928 308 398697591
321 225 80282981
34 706 311259384
803 999 87597916
25 250 394736262
317 178 76012526
21 512 925953348
547 220 564399595
563 78 543714325
432 997 165332072
914 56 768970897
80 958 15192595
200 517 552351724
888 483 766955436
141 744 261322144
847 946 426214663
882 90 289711059
351 308 129236634
879 865 281052816
298 242 497561343
593 897 240049687
22 60 443104338
195 252 162685728
136 566 374335314
245 183 950654978
945 574 190325868
17 178 148740925
288 494 679875176
728 101 661407253
270 211 625989125
910 896 290642329
411 60 451190138
309 505 435178288
230 539 758363033
575 600 210481970
404 530 725751220
991 574 456204019
913 270 642923230
400 493 488748352
875 191 180147880
982 148 855243235
12 498 144495381
815 692 212503829
516 297 664962442
529 364 562833940
368 268 392524981
295 132 395999626
924 692 134875894
969 921 818691820
335 955 91453496
537 50 64874997
73 721 25998324
176 657 702267544
450 460 390359029
261 392 322829246
789 78 343871434
425 193 572766817
222 974 713267651
18 894 795191853
109 52 886617970
427 176 559221840
810 366 325769919
860 898 544473708
419 134 680761225
274 740 864067407
910 840 656635611
916 118 985919898
836 209 758201624
722 953 655077274
274 498 528573490
227 698 947746647
56 439 753067171
775 942 474080398
666 703 337114000
140 495 865211584
921 836 371640443
584 57 604366609
594 577 875400096
374 443 660292854
447 860 839081827
436 593 820143451
360 928 656724946
391 249 449955900
161 365 976182023
821 126 770722171
758 513 241007056
15 56 680353294
902 499 645186669
770 465 170116190
605 272 956233744
688 364 331661428
464 45 445511489
978 703 133526540
429 67 675139884
662 962 215509265
762 661 557464844
679 131 735787344
493 120 436190131
379 685 732728986
97 890 109859325
851 513 238241601
212 908 657818633
554 999 486745964
968 437 824167242
597 246 519403492
189 391 230391624
50 215 505305338
901 711 192683610
62 420 849596028
401 60 574948043
820 928 2286558
675 182 937911912
406 204 70976704
938 152 366015100
875 318 126698302
699 184 25434960
338 896 995898180
453 692 248622689
951 474 818741691
451 568 616156809
319 875 150681555
8 719 779944592
492 137 834367001
747 800 746489820
187 780 996890256
562 94 209749285
477 178 547697465
110 221 786933100
703 118 466300419
244 508 302728546
330 999 718220140
603 102 909260416
348 405 495411340
397 464 693134783
550 594 946740722
536 339 736719397
100 166 488838130
368 525 227715558
897 234 801941669
784 895 102333760
867 328 253031858
137 604 453247359
423 184 40363999
265 683 788946825
394 157 786525319
890 455 139779824
265 34 352718569
488 111 380251174
369 480 647960203
344 73 821913803
579 563 786761280
113 316 400647829
411 715 357023370
319 462 150265866
999 787 98238933
33 835 9834580
286 815 129142388
65 156 617623840
406 875 122216488
805 292 79405429
885 10 990777389
935 718 382609333
388 247 171225286
832 111 274119938
363 661 122480887
439 917 471223691
439 903 69754116
697 763 686789251
645 718 625541605
536 823 749945651
15 703 49211724
194 962 959427095
166 255 371522108
961 700 710144178
516 358 679006225
889 573 354156844
999 17 516774700
417 351 468240015
63 334 811739615
893 415 623175297
69 203 233790611
633 228 751223791
907 898 916571851
58 990 428578729
345 632 574753642
347 403 320327628
46 924 511276183
785 587 913961302
667 868 490481409
867 881 271142
533 23 538694608
352 529 185390510
813 421 340081448
291 180 298062164
443 654 587104175
672 338 650348252
545 487 483420429
891 465 689696983
593 552 797643925
696 478 536552464
15 434 248495931
493 34 403252165
435 626 863363300
12 639 307895104
733 26 968623077
842 999 511582693
341 268 785033905
16 126 250632110
468 840 385305414
169 71 117043049
639 273 541167771
169 805 580866649
751 178 571568180
408 530 108183220
85 267 715781306
568 91 815706932
849 292 286939089
597 535 345244354
34 615 739259638
686 851 797523571
185 719 619599031
975 203 593617528
560 544 976667430
392 626 124605535
214 609 818127181
750 997 939198924
551 587 101435468
748 626 579138758
863 363 110307451
275 89 50250273
458 81 638276188
114 466 759248905
389 225 736674686
376 481 575900751
372 142 820571412
68 962 354588627
820 556 45618899
